DATE,CSUSHPISA,Year,Month,Per_Capita_GDP,working_age_pop,Houses,CPI,UNRATE,EmpRate,Cons_Material,FEDFUNDS,urban_pop_us,Num_Households,median_income,Subsidy,old_age_pop,CSUSHPISA_smoothed,Houses_smoothed,Cons_Material_smoothed,FEDFUNDS_smoothed,UNRATE_smoothed,EmpRate_smoothed
2006-12-01,184.139,2006,12,55245.333333333336,194181049.427418,6.5,203.1,4.4,72.3255485543409,179.8,5.24,80.1,114384.0,67520.0,28.604,12.4,183.64866666666668,6.800000000000001,180.63333333333335,5.246666666666667,4.433333333333334,72.24940739404009
2007-01-01,184.517,2007,1,55260.0,194950822.52520895,7.2,203.437,4.6,72.1389786666459,181.1,5.25,80.3,116011.0,68610.0,29.512,12.5,184.08833333333337,6.766666666666667,180.23333333333335,5.246666666666667,4.5,72.21462869601653
2007-02-01,184.598,2007,2,55331.333333333336,195126880.627733,7.9,204.226,4.5,71.9754313253314,181.5,5.26,80.3,116011.0,68610.0,29.512,12.5,184.418,7.2,180.80000000000004,5.250000000000001,4.5,72.14665284877273
2007-03-01,184.15,2007,3,55402.666666666664,195232897.83557,7.9,205.288,4.4,72.0188718024501,182.5,5.26,80.3,116011.0,68610.0,29.512,12.5,184.4216666666667,7.666666666666667,181.69999999999996,5.256666666666667,4.5,72.04442726480913
2007-04-01,183.01,2007,4,55474.0,195285714.737398,7.4,205.904,4.5,71.7047436543484,183.7,5.25,80.3,116011.0,68610.0,29.512,12.5,183.91933333333336,7.733333333333334,182.5666666666667,5.256666666666667,4.466666666666666,71.89968226070998
2007-05-01,181.6,2007,5,55532.333333333336,195379018.833646,7.8,206.755,4.4,71.7523530194965,184.0,5.25,80.3,116011.0,68610.0,29.512,12.5,182.92,7.7,183.4,5.253333333333334,4.433333333333334,71.82532282543167
2007-06-01,180.254,2007,6,55590.666666666664,195626634.046856,8.2,207.234,4.6,71.7692298204664,184.0,5.25,80.3,116011.0,68610.0,29.512,12.5,181.62133333333335,7.800000000000001,183.9,5.25,4.5,71.74210883143711
2007-07-01,179.111,2007,7,55649.0,195763535.11075,8.3,207.603,4.7,71.7336819674446,184.2,5.26,80.3,116011.0,68610.0,29.512,12.5,180.3216666666667,8.1,184.0666666666667,5.253333333333333,4.566666666666667,71.7517549358025
2007-08-01,178.116,2007,8,55718.333333333336,195850863.946078,9.2,207.667,4.6,71.5659257477361,183.9,5.02,80.3,116011.0,68610.0,29.512,12.5,179.16033333333334,8.566666666666666,184.03333333333333,5.176666666666667,4.633333333333334,71.68961251188237
2007-09-01,177.558,2007,9,55787.666666666664,195982436.044094,9.2,208.547,4.7,71.6981546272485,183.4,4.94,80.3,116011.0,68610.0,29.512,12.5,178.26166666666666,8.9,183.83333333333334,5.073333333333334,4.666666666666667,71.66592078080974
2007-10-01,176.62400000000002,2007,10,55857.0,196078651.47493,8.5,209.19,4.7,71.5803045302188,183.0,4.76,80.3,116011.0,68610.0,29.512,12.5,177.43266666666668,8.966666666666667,183.4333333333333,4.906666666666666,4.666666666666667,71.61479496840114
2007-11-01,175.14700000000002,2007,11,55737.0,196221175.760461,9.4,210.834,4.7,71.7771614629463,183.3,4.49,80.3,116011.0,68610.0,29.512,12.5,176.443,9.033333333333333,183.23333333333335,4.73,4.7,71.68520687347119
2007-12-01,174.342,2007,12,55617.0,196455828.256626,9.6,211.445,5.0,71.5532926113138,183.5,4.24,80.3,116011.0,68610.0,29.512,12.5,175.371,9.166666666666666,183.26666666666665,4.496666666666667,4.800000000000001,71.63691953482629
2008-01-01,173.132,2008,1,55497.0,196086203.524982,9.3,212.174,5.0,71.6783781969819,184.3,3.94,80.4,116783.0,66280.0,29.876,12.7,174.20700000000002,9.433333333333334,183.70000000000002,4.223333333333334,4.8999999999999995,71.66961075708066
2008-02-01,171.541,2008,2,55566.333333333336,196235085.354875,9.7,212.687,4.9,71.435293581499,185.7,2.98,80.4,116783.0,66280.0,29.876,12.7,173.005,9.533333333333333,184.5,3.72,4.966666666666668,71.55565479659823
2008-03-01,170.053,2008,3,55635.666666666664,196400619.620712,10.5,213.448,5.1,71.405518624937,187.8,2.61,80.4,116783.0,66280.0,29.876,12.7,171.57533333333333,9.833333333333334,185.9333333333333,3.176666666666667,5.0,71.5063968011393
2008-04-01,168.338,2008,4,55705.0,196184860.473712,10.3,213.942,5.0,71.4270797560234,190.9,2.28,80.4,116783.0,66280.0,29.876,12.7,169.97733333333335,10.166666666666668,188.13333333333333,2.6233333333333335,5.0,71.42263065415314
